Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris;Column 12;Column 13;Column 14;Column 15
247;Métro;MICHEL-ANGE-MOLITOR;2093279;9;10;;;;Paris;16;;;;
242;Métro;PORTE DE CHARENTON;2151353;8;;;;;Paris;12;;;;
249;Métro;NOTRE-DAME-DES-CHAMPS;2074698;12;;;;;Paris;6;;;;
254;Métro;BUZENVAL;1963737;9;;;;;Paris;20;;;;
284;Métro;MOUTON-DUVERNET;1300317;4;;;;;Paris;14;;;;
274;Métro;PONT MARIE;1558885;7;;;;;Paris;4;;;;
280;Métro;CHEMIN VERT;1445627;8;;;;;Paris;11;;;;
283;Métro;PICPUS;1313242;6;;;;;Paris;12;;;;
287;Métro;KLEBER;1249446;6;;;;;Paris;16;;;;
290;Métro;RENNES;1218261;12;;;;;Paris;6;;;;
291;Métro;VANEAU;980057;10;;;;;Paris;7;;;;
300;Métro;BUTTES-CHAUMONT;521634;7bis;;;;;Paris;19;;;;
4;RER;CHATELET-LES HALLES-RER;26356131;A;B;;;;Paris;1;;;;
9;RER;NOISY-LE-GRAND-MONT D'EST;7862183;A;;;;;Noisy-le-Grand;;;;;
12;RER;VINCENNES;6718268;A;;;;;Vincennes;;;;;
17;RER;NEUILLY-PLAISANCE;5390454;A;;;;;Neuilly-sur-Seine;;;;;
21;RER;NANTERRE-UNIVERSITE;4501642;A;;;;;Nanterre;;;;;
46;RER;LE PARC DE SAINT-MAUR;2125885;A;;;;;Saint-Maur des Fossés;;;;;
51;RER;LOGNES;1600341;A;;;;;Lognes;;;;;
54;RER;PALAISEAU;1028405;B;;;;;Palaiseau;;;;;
56;RER;LE GUICHET;923888;B;;;;;Orsay;;;;;
62;RER;SCEAUX;706968;B;;;;;sceaux;;;;;
64;RER;COURCELLE-SUR-YVETTE;610753;B;;;;;Gif sur Yvette;;;;;
